pref,pref_code,cat,date,shop,addr,lat,lon,lat_i,lon_i
shizuoka,22,スーパー,2025-10-20,法人番号3080101001770株式会社マキヤ業務スーパー浜北店,浜松市浜名区西美薗2520番地,34.808968,137.803635,8354,6048
shizuoka,22,コンビニ,2025-10-07,法人番号6080101022632株式会社ＳＥＳマネジメントセブン－イレブン沼津西沢田南店,沼津市西沢田367番地,35.119595,138.84671,8428,6215
shizuoka,22,コンビニ,2025-10-31,坂井秀明ファミリーマート清水町徳倉南店,駿東郡清水町徳倉215番地の8,35.08007,138.899048,8419,6223
shizuoka,22,コンビニ,2025-10-21,法人番号6080103003408コネクトフィールド合同会社セブン－イレブン富士市中島店,富士市中島533番地の1,35.165932,138.652756,8439,6184
shizuoka,22,コンビニ,2025-10-01,袴田武志ミニストップ磐田平松店,磐田市平松534番地の12,34.806381,137.847031,8353,6055
shizuoka,22,コンビニ,2025-10-07,石川朗セブン－イレブン掛川和田店,掛川市和田217番地1,34.746498,138.032043,8339,6085
shizuoka,22,コンビニ,2025-10-31,法人番号5080001026866株式会社ＭＭＣファミリーマート藤枝高柳四丁目店,藤枝市高柳四丁目17番15号,34.841026,138.268723,8361,6122
tochigi,09,スーパー,2025-10-08,法人番号8060001001208株式会社カンセキ業務スーパー上三川店,河内郡上三川町大字上三川４４１０番地１,36.427464,139.91806,8742,6386
tokushima,36,コンビニ,2025-10-10,法人番号8480001009704鈴栄商事株式会社セブン-イレブン徳島北矢三一丁目店,徳島市北矢三町一丁目１９５番地１,34.087612,134.527527,8181,5524
tokyo,13,コンビニ,2025-10-28,法人番号2010401004266エームサービス株式会社セブン－イレブンＡＩＭＮＸグループビル店,千代田区神田和泉町２番地ＮＸグループビル３階,35.69949,139.77948,8567,6364
tokyo,13,コンビニ,2025-10-31,法人番号7010001137239株式会社ヴァリューコーポレーションファミリーマート日本橋本町二丁目店,中央区日本橋本町２丁目６番７号キュロコ日本橋１階１０１号室,35.687943,139.776825,8565,6364
tokyo,13,コンビニ,2025-10-17,法人番号6010501047822株式会社Ｔ＆Ｋファミリーマートザリンクピラー１サウス店,港区高輪２丁目２１番２号ＴＨＥＬＩＮＫＰＩＬＬＡＲ１ＳＯＵＴＨ８階,35.635559,139.739594,8552,6358
